,naNe,fold,log2fold,tstat,pvalue,qvalue,updown,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,3M_neg,29M_neg,maxint,mean1,sd1,mean2,sd2,3M1_1,3M1_2,3M2_1,3M2_2,3M3_1,3M3_2,3M4_1,3M4_2,3M5_1,3M5_2,3M6_1,3M6_2,3M7_1,3M7_2,3M8_1,3M8_2,29M1_1,29M1_2,29M2_1,29M2_2,29M3_1,29M3_2,29M4_1,29M4_2,29M5_1,29M5_2,29M6_1,29M6_2,29M7_1,29M7_2,29M8_1,29M8_2,Mode
21,N161T5_2,1.407451917,-0.493085636,-7.377138778,9.96E-08,2.96E-06,DOWN,161.04527,161.0451505,161.0455264,4.832491667,4.785516667,4.8848,32,16,16,298104.688,3837448.3,512369.673,2726521.777,316728.5509,4583716.159,4766615.771,4364692.373,4327132.583,3098442.242,3408106.77,3737414.529,3696199.141,4169219.094,4360622.482,3671282.929,3623708.386,3482337.808,3385532.716,3360753.927,3363395.899,3084856.549,2897602.244,2945614.636,2739944.019,2363933.93,2155885.424,2818411.754,2668526.794,2890506.007,3016537.234,2332121.971,2161243.834,2989723.754,3143581.783,2708830.655,2707027.84,Neg
22,N125T5,1.41364925,-0.499424208,-7.202347954,1.29E-07,3.67E-06,DOWN,125.0241652,125.0201761,125.024353,4.8164,4.264166667,4.8848,40,16,16,29326.496,393409.9316,53706.90938,278293.8778,34683.34332,503534.3096,476746.7938,432889.8567,443820.5437,338621.3851,348057.6917,383666.8089,376174.0855,440708.5461,429016.5882,378336.9726,354781.1781,362644.5596,336939.6508,359511.6388,329108.2966,321060.4536,281252.5224,314434.6681,273591.2433,243625.9615,219398.2511,293441.422,271957.526,302691.7602,295858.7596,237669.1017,211336.6613,319600.2007,312184.0529,281973.9577,272625.5018,Neg
23,N306T4_1,1.890325182,0.918634434,7.38414504,1.43E-07,3.75E-06,UP,306.0379971,306.0376695,306.0382843,3.552333333,3.510766667,3.770566667,32,16,16,15773.137,84660.19403,19903.44267,160035.2967,35651.16637,64344.56381,68183.88401,56520.39247,55560.32106,62264.52791,67448.65823,93052.33269,95795.29207,95413.08016,97673.50076,110997.5602,121852.7608,86294.97762,87502.16784,94253.63703,97405.44782,134559.1051,142891.1244,121995.8581,127572.7997,137579.6445,132240.8919,138665.7578,132005.3384,146760.2091,149058.7331,243309.3806,212272.8454,181673.4825,167999.8773,199528.1802,192451.5183,Neg
24,N306T4_4,1.890201935,0.918540369,7.474693264,1.44E-07,3.75E-06,UP,306.1149714,306.1144963,306.1152661,3.558758333,3.52825,3.770566667,32,16,16,15473.651,84745.08663,18849.77498,160185.3267,35700.20876,61882.81424,71206.58553,55879.18937,63461.85108,61078.6427,67077.49049,92432.22169,96165.82229,96916.31948,98973.25371,111843.8334,115216.1958,83360.00389,88973.69622,94906.09291,96547.3732,131020.168,139269.2502,126475.0984,124038.5023,140053.819,133085.7492,133839.0241,129470.407,145112.5108,151553.7401,228667.1223,212852.1358,180047.865,175653.0373,209667.5262,202159.2717,Neg
25,N162T5_2,1.530719429,-0.614209871,-7.168626432,1.65E-07,4.05E-06,DOWN,162.0486209,162.0484798,162.0488015,4.833391667,4.785516667,4.8848,32,16,16,17141.859,168907.9249,27822.27319,110345.4505,17138.07901,212149.5725,232102.4356,188959.8517,186284.1377,132894.8409,143967.9121,160298.838,155462.6524,188065.4407,192215.2309,155886.9975,144692.8359,145298.4065,149286.8707,157810.4924,157150.2833,141491.7154,122774.3567,122387.7255,117503.695,93783.18195,84917.35072,119465.8557,97261.92761,118378.3814,116636.6835,84926.06741,82373.67424,116637.567,128625.1641,108679.2218,109684.6391,Neg
26,N195T4_3,1.585838267,0.665245644,6.770801971,1.69E-07,4.05E-06,UP,195.0507534,195.0504559,195.050951,3.615141667,3.5798,3.841483333,32,16,16,296244.406,1792511.648,451755.3701,2842633.565,425196.0071,2191745.501,2732476,1874305.202,2153972.392,936625.8239,1144642.833,2121629.658,2025688.381,1960122.289,2185837.609,1569471.674,1727501.89,1401749.91,1567941.509,1512895.328,1573580.37,2796200.818,2982673.07,2510626.89,2714004.572,2465624.897,2388384.072,2053297.029,2171135.773,2921336.376,3126158.477,3489462.192,3428725.886,3119938.143,3083012.603,3181071.174,3050485.071,Neg
27,N288T4_1,1.922813105,0.943218541,7.007078888,1.76E-07,4.07E-06,UP,288.0646389,288.0642159,288.0653179,3.583383333,3.5226,3.86995,33,16,16,20097.537,98542.18566,29206.15243,189478.206,42915.57747,76114.19481,94172.69995,70078.11765,62867.89991,71631.70446,75508.15505,114676.4881,44548.05655,119008.7422,115980.4412,135505.5899,149984.6706,107393.5246,104362.6415,127395.0579,107446.9862,166477.6054,156234.3016,154261.1723,150878.5604,168734.9219,150056.9647,151511.5011,150927.2472,168693.2142,173593.8827,259427.0054,265470.8086,230442.4981,206426.6077,245444.7357,233070.2687,Neg
28,N159T5,1.505031373,-0.589793561,-7.163153572,1.93E-07,4.30E-06,DOWN,159.0296155,159.0294642,159.029803,4.833366667,4.785516667,4.8848,32,16,16,19565.754,240432.0185,38769.94237,159752.1639,22948.58312,326854.5312,287909.7367,290883.3625,245568.8922,225630.3913,201146.6058,252696.3479,211470.1366,274721.9943,249636.2001,229681.6753,198978.7754,224850.3696,188217.3946,235860.5363,202805.3468,199224.5727,166403.7886,182560.7844,167031.3576,149955.2942,130767.1674,175795.6585,144971.3134,173510.1829,169256.4428,140163.6609,105900.8564,179717.867,168966.653,158275.5993,143533.4232,Neg
29,N273T4_2,1.884098277,0.91387422,6.852563513,2.09E-07,4.49E-06,UP,273.0910728,273.0907199,273.0971944,3.582358333,3.5415,3.785016667,36,15,16,8252.442,33588.46281,10258.30396,63283.96492,13972.58383,20648.27077,31735.46329,20249.16032,27345.39687,23507.99905,30323.41278,17441.36881,36980.01029,40746.5005,43567.6444,47838.30748,52822.31984,33149.32252,32378.21178,36645.88156,42036.13473,55782.50882,53582.96862,50385.96753,50511.95384,57175.82971,49128.50487,63293.82476,52007.41408,50050.22616,60680.68182,96309.11661,66058.66413,75498.34154,74528.28166,83672.19542,73876.9591,Neg
30,N143T4_1,1.843435478,0.882396921,7.358716813,2.19E-07,4.49E-06,UP,143.0459625,143.0458701,143.0461272,3.583633333,3.545433333,3.813433333,32,16,16,132108.703,745631.9017,153882.7145,1374524.301,305255.3242,603773.4615,683225.1911,560440.2312,535422.2434,563397.0923,589538.592,870775.4006,774186.765,810447.8999,854666.3392,939556.0328,1092436.656,729063.7142,739035.4886,796748.1959,787397.1248,1132522.002,1077610.907,1244207.109,994747.1391,1229588.851,1101219.754,1181784.869,1067503.437,1431860.293,1249092.186,1853821.817,1942957.828,1465273.846,1598450.568,1655376.146,1766372.063,Neg
