,name,fold,log2fold,tstat,pvalue,qvalue,updown,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,3M_pos,29M_pos,maxint,mean1,sd1,mean2,sd2,3M1_A4_1,3M1_A4_2,3M1_A4_3,3M2_C1_1,3M2_C1_2,3M2_C1_3,3M2_D9_1,3M2_D9_2,3M2_D9_3,3M4_E1_1,3M4_E1_2,3M4_E1_3,3M4_E2_1,3M4_E2_2,3M4_E2_3,29M2_C1_1,29M2_C1_2,29M2_C1_3,29M2_D8_1,29M2_D8_2,29M2_D8_3,29M2_E4_1,29M2_E4_2,29M2_E4_3,29M6_E1_1,29M6_E1_2,29M6_E1_3,29M6_E4_1,29M6_E4_2,29M6_E4_3,29M6_F7_1,29M6_F7_2,29M6_F7_3,29M7_G7_1,29M7_G7_2,29M7_G7_3,29M7_H9_1,29M7_H9_2,29M7_H9_3,Mode
21,M741T25,2.16735335,-1.11593438,-4.665661188,4.89E-05,0.005047793,DOWN,740.5229977,740.5216774,740.5243405,25.43383333,25.34433333,25.599,38,21,14,13792.779,108085.746,35655.11892,49869.92359,41260.83643,137250.8764,124752.3285,143677.3004,55817.20986,77752.47799,77826.06962,110192.4001,105021.8591,96170.67045,156702.4593,151013.2256,162214.5658,82943.94777,71728.62288,68222.17598,5916.546376,14658.09342,6413.905536,94341.89712,98264.17737,110248.3704,9905.737636,15173.56526,16059.59529,97383.1074,125970.7383,137541.3973,58279.56503,58610.3423,39503.10409,18118.10896,19912.74321,21031.93523,5285.160417,41605.51149,26659.06226,62580.21241,39243.14018,74172.14916,Pos
22,M121T26_2,1.247341463,0.31885646,4.523258911,6.09E-05,0.006001427,UP,121.0650699,121.0649857,121.0651411,25.82858333,25.783,26.12633333,40,24,15,12692.148,126954.948,16699.32191,158356.1705,26654.47241,109040.3212,94021.33517,116850.9288,123729.8018,136038.4173,143654.2767,117675.2843,136000.3667,129468.0117,115654.6549,135716.1957,132338.7382,159612.199,143850.1458,110673.5422,188741.3716,184759.7933,202353.8537,160556.6528,169502.4992,145491.6497,193589.3518,182953.3106,176011.1785,137963.3309,142180.0285,142352.525,183214.0945,159819.8664,153762.5979,155753.8638,175753.0589,144847.945,82157.94296,156157.0425,144086.6243,140373.2853,163415.1804,114751.0445,Pos
23,M744T25_1,1.86508283,-0.899239703,-4.518042424,6.69E-05,0.006303705,DOWN,743.5416251,743.5411617,743.5427409,25.47183333,25.3905,25.58666667,38,23,14,25793.855,188529.5859,52054.48941,101083.7604,68228.51828,227300.344,217751.9351,221650.6476,125967.2092,234704.5956,220046.6155,180718.1807,153336.642,118927.0837,233351.3818,240732.584,262695.2116,117439.1924,154387.7154,118934.4502,13227.81956,27770.28229,12798.16558,127249.7503,139411.5825,115127.6889,23233.26629,25210.26326,24401.69864,222839.6376,241275.3574,196850.0381,119932.1423,126323.3477,156033.3982,74214.87547,72467.23801,82775.83801,60145.03189,25420.58961,104046.9646,126210.0036,116826.3613,192218.9087,Pos
24,M758T25_3,1.657574788,-0.729073965,-4.497770176,7.59E-05,0.006857821,DOWN,758.4184156,758.4176064,758.4194444,25.43416667,25.36533333,25.46666667,39,24,15,13341.855,92848.46559,22885.26343,56014.64637,27777.59655,106917.57,103621.6197,137574.0954,57758.54057,67238.67048,89179.13754,79174.53099,58654.94608,112951.1265,118273.8384,83515.92102,112411.5382,85634.93399,80651.96827,99168.54678,17638.24704,20684.15904,13539.70335,32565.26185,44323.34283,31526.65966,29655.1106,29529.2094,31621.35938,99341.87116,117341.1571,83722.24958,56876.51081,74021.40564,65978.49982,60321.56267,61092.50198,59295.34471,32999.62186,85227.93683,60182.25954,72849.36197,78585.37778,85432.79824,Pos
25,M112T10,1.963412524,0.973363323,4.481596902,8.63E-05,0.007483114,UP,112.0507724,112.0507045,112.0508281,9.77645,9.544716667,9.878,37,22,15,4584.558,18499.33654,6875.911286,36321.82905,17433.20936,10272.20438,15360.5725,27517.4801,12145.62894,20850.87995,27552.6364,23120.80094,24141.5559,27748.78496,9244.803622,12047.81443,23613.32245,11652.0627,12596.06348,19625.43734,59845.78737,51601.44526,64312.90398,8090.080789,11448.98886,19615.90772,49524.0453,65618.3404,52640.96402,17177.75136,19167.27865,22039.58963,23900.3763,28293.46693,31033.65816,53103.32683,42474.6554,55974.39446,13393.72279,37522.22738,30342.34079,35522.47947,36029.21551,43050.94993,Pos
26,M400T28,8.002284185,3.000411864,4.667463502,0.000105809,0.0077823,UP,400.3296161,400.3292923,400.3299254,27.7345,27.71033333,27.81,23,8,15,26910.342,13596.79416,3216.543712,108805.4109,99848.30327,16751.65444,18434.29581,18374.58484,10727.6056,17753.34731,15061.6108,9526.582548,13326.71989,13034.0519,15403.42948,10089.60299,11680.73312,13591.15828,10509.47005,9687.065312,141790.8625,126236.7759,129078.4392,27090.33188,28680.68145,28057.18826,202645.888,245930.8324,299202.5783,10715.32524,9101.681694,8517.209313,223468.6764,246747.1789,226633.5816,154970.8198,188493.2332,206964.2552,39576.8789,12912.08636,15162.63756,12666.34945,13281.72859,13404.64064,Pos
27,M169T9,1.956367989,0.968177764,4.375666013,0.000106386,0.0077823,UP,169.0946257,169.0945083,169.0946986,9.2353,9.095783333,9.311183333,36,21,15,3708.257,23124.75989,9748.802198,45240.54,21471.65324,11579.53151,20452.10582,22030.3165,21774.73418,38265.2427,45186.98021,16541.4346,22360.72393,27374.19661,20348.51024,27122.65765,32954.22063,10274.28334,14485.18443,16121.27597,67321.25812,85935.61987,89455.6373,18365.84887,19513.97486,22668.60763,44140.37429,62930.20232,65233.34364,23121.39131,31163.56337,29804.00244,37322.20006,48164.27197,47088.66735,49646.74664,69658.85691,72985.97575,13784.93171,29973.92443,31170.60558,35880.26235,43858.08679,46584.6064,Pos
28,M743T25_1,1.762337396,-0.817490152,-4.342111485,0.000117463,0.0077823,DOWN,742.5386142,742.5305913,742.5394168,25.47133333,25.41966667,25.876,40,23,15,53788.52,472808.4604,130147.2841,268284.8706,161696.6734,372393.4667,588870.8744,786855.7408,276970.0312,511719.1488,479785.2244,422287.7079,419419.8269,490230.9082,556832.1865,533367.5329,594903.3399,335156.2217,366568.729,356765.9665,44630.23269,65507.06441,23199.44721,251631.5749,332123.886,325768.366,83722.36064,98396.01436,99548.6912,539878.8035,545378.9106,512700.1958,288372.9723,297683.9159,347887.6012,140630.0433,178453.8787,192591.4757,162740.3594,262743.1581,325446.4076,430625.5779,435878.7459,453297.2121,Pos
29,M769T25_3,1.571258164,-0.651920241,-4.307770635,0.000119015,0.0077823,DOWN,768.8174065,768.8172167,768.8182715,25.434,25.37933333,25.45866667,39,24,15,18833.498,159734.8872,34388.82985,101660.4979,49696.58316,187382.1415,180983.2421,232059.7504,88409.35389,122113.6553,140459.7475,158130.933,151034.6408,184639.8406,167988.7775,150292.9424,196531.6219,143111.7057,132374.6611,160510.2948,27283.31147,34665.35214,29574.83586,56060.33696,68058.3944,66557.63931,55502.60905,64128.00759,61439.25955,169881.8993,194157.3547,179298.5451,99303.29375,114339.9211,115260.553,97108.56696,107373.7614,97869.30748,65215.43439,128481.2083,154322.3732,145346.0031,148845.565,159778.4159,Pos
30,M152T12,2.283004099,1.19093345,4.302982148,0.000119039,0.0077823,UP,152.0565088,152.0563964,152.0566237,11.71473333,11.52373333,11.8338,23,19,4,1969.342,10610.50815,7241.615192,24223.83358,12502.38708,3625.108265,5426.201013,6513.645603,12670.76213,25161.42248,29189.83572,8069.892884,9687.439813,12295.44292,4611.081071,8546.838149,8550.481107,5756.841178,9502.061718,9550.568135,36509.11648,36009.98924,39709.28124,2996.349838,3185.863078,2634.456877,23996.8,37498.04484,44825.89175,14738.88222,13771.60789,14185.54156,19902.05219,18943.08463,18265.89575,26064.15922,37787.98345,37098.82722,11845.35367,23711.57516,30538.12981,20605.8104,33116.84752,33430.46198,Pos
31,M677T25_2,1.668913644,-0.738909306,-4.314915032,0.000119162,0.0077823,DOWN,677.4943811,677.4939949,677.4957407,25.36508333,25.3095,25.43033333,32,19,13,8150.709,42512.20421,8334.705286,25472.98021,16220.54965,30690.39818,41768.63821,39943.20727,42345.83612,59202.42326,51508.94463,53638.59782,43584.60859,47465.10651,25700.78131,38757.87812,42739.55969,41053.74379,38852.16214,40431.17755,21482.49417,19984.27179,14428.98384,7205.326754,6893.189701,9078.17046,8063.708896,12587.8847,16409.75477,44003.9885,44220.48526,32993.99189,38835.55778,45161.47538,42421.67402,37140.86241,56702.05212,55792.30323,7823.290971,14813.00198,12657.5325,18647.65898,28667.57849,15336.28634,Pos
32,M346T5_2,1.818370448,-0.862646143,-4.301918626,0.000121365,0.0077823,DOWN,346.0353969,346.0349711,346.035827,4.881566667,4.82735,5.301116667,13,12,1,6263.362,67135.85362,17975.08924,36920.88907,25825.90811,74818.24135,65868.67689,76138.06577,53140.54392,67637.13514,78319.64003,73023.45675,73319.45336,76495.51631,67884.49645,66176.4719,78810.04039,6680.268936,73141.76887,75584.0282,54835.82136,59413.77759,56767.21791,10761.79415,26819.58471,35831.00751,5942.002175,68684.34796,14674.26527,13359.66881,80045.59608,76606.63148,60617.3626,73885.50872,22009.90939,24437.93262,69188.07449,20482.70637,7502.204402,49957.54944,13770.18872,15387.28952,8117.509334,17003.38717,Pos
33,M782T25,2.045375996,-1.032366074,-4.430651813,0.00012341,0.0077823,DOWN,781.5548679,781.554613,781.5616234,25.4075,25.25966667,25.47,35,20,13,20212.871,89819.68813,31958.25955,43913.53389,30696.87787,58294.96457,103113.3605,103020.9969,46117.46578,64376.60116,69895.89525,96961.91382,103826.9542,130158.7038,87849.92387,96664.13234,173575.6182,71148.64768,73724.25928,68565.88454,4099.955748,16369.42163,10317.76543,58591.93462,71269.16616,25597.43325,18828.76401,24550.26251,20672.61791,97607.74306,103725.6337,104814.2897,68163.3765,67692.37368,74161.22577,5036.83425,40365.18919,39727.81811,19305.90356,20790.75328,23914.11718,49142.54599,46709.86946,42469.81878,Pos
34,M159T10_2,3.272533864,1.710408121,4.305643382,0.000123588,0.0077823,UP,159.0275978,159.027473,159.0277085,10.35091667,10.1153,10.42176667,36,21,15,33429.344,58525.15015,64285.6578,191525.5357,127624.6604,11919.44316,9672.205115,12186.57816,186829.7505,174704.8128,173830.7855,64772.49849,49417.65257,55023.6508,22862.92437,12597.49694,17292.53827,34342.74501,24296.8297,28127.34095,401868.7444,416724.1676,448811.218,16492.61954,18249.84555,20833.58846,292331.6878,271415.9179,280359.3018,76024.54804,86938.17292,83717.63314,133355.0282,143242.0168,145729.3193,301801.6307,283606.749,318217.4546,104571.8212,182427.1904,174468.5022,133415.4779,121088.7183,140921.5038,Pos
35,M760T25_1,1.574459452,-0.654856603,-4.275317321,0.000128725,0.0077823,DOWN,759.5731233,759.571035,759.578839,25.441,25.37933333,25.9635,51,24,15,990158.063,9563338.832,1969164.678,6074045.808,3127647.432,11548509.08,12081761.08,13146481.78,5290097.186,7584944.521,7425726.031,9253330.964,9806290.65,10077749.92,9347019.352,9514704.02,11202359.53,8684955.06,9622714.91,8863438.396,1547086.603,1875526.677,1536976.042,3212427.525,3719143.597,3734261.096,3338487.603,3702796.638,3684974.708,10988500.04,11790954.1,10463097.38,6156905.558,6380560.424,6718896.86,5702304.488,6181917.148,6156149.265,3703850.115,7923820.459,9592072.853,9559895.736,8760784.904,9345709.565,Pos
36,M206T6_4,25.38237772,4.665755316,4.589590781,0.000129191,0.0077823,UP,206.0762889,206.0713844,206.0766079,5.978916667,5.592266667,6.511483333,29,11,15,59293.645,30105.46145,13411.07709,764148.194,783341.5951,12264.66973,30273.48983,40903.61348,12622.02845,9194.474304,26052.75165,43981.54108,22258.35484,34671.0215,42750.9056,37602.96945,56293.03618,21508.91131,24583.709,36620.44538,39297.27437,8535.299387,2086548.231,793028.4738,1266901.488,1606213.769,1086008.212,1384098.946,1319694.26,11774.34308,46240.97031,10027.2074,31263.50405,20975.54107,1908.700701,1806057.476,2112889.517,11391.05959,445711.4975,1212566.719,1201550.846,1810656.827,12132.45288,14084.04183,Pos
