,name,fold,log2fold,tstat,pvalue,qvalue,updown,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,3M_pos,29M_pos,maxint,mean1,sd1,mean2,sd2,3M1_2,3M1_3,3M2_2,3M2_3,3M3_2,3M3_3,3M4_2,3M4_3,3M5_2,3M5_3,3M6_2,3M6_3,3M7_2,3M7_3,3M8_2,3M8_3,29M1_2,29M1_3,29M2_2,29M2_3,29M3_2,29M3_3,29M4_2,29M4_3,29M5_2,29M5_3,29M6_2,29M6_3,29M7_2,29M7_3,29M8_2,29M8_3,Mode
24,M254T11,2.286566144,1.193182653,9.335417017,9.33E-12,7.94E-10,UP,254.1495759,254.149286,254.1500689,11.41343333,11.32313333,11.50363333,34,11,23,3434.618,23387.99843,9202.149317,53478.20538,12687.78885,21505.7325,17469.11672,21812.65045,17155.35422,10144.91049,8064.781402,36297.13911,30665.39378,28550.71743,25438.13976,29051.50035,31604.17948,31120.07304,28516.1323,37574.19151,37231.82638,64302.84341,55090.82685,68571.16099,59182.27704,39040.33121,47180.19424,47448.34637,62286.8953,80015.14763,80670.15242,48975.25778,48009.1842,59153.53807,55192.91004,32717.38567,43318.27467,Pos
25,M251T5_2,1.931264758,0.949545957,9.048621781,2.01E-11,1.64E-09,UP,251.0363173,251.0343958,251.0366806,4.88625,4.833966667,5.119216667,50,23,24,135863.875,553473.5818,165406.4402,1068904.023,222090.3018,760651.8638,686414.147,328843.3404,334859.0063,398412.9716,398325.7806,670563.6033,570218.1323,669652.3472,677712.1312,460329.9865,529927.3567,443716.588,500088.6253,834176.3853,811020.4571,1010067.598,949591.5335,862681.6915,894036.9206,857054.5255,916049.7917,1031296.46,1087328.79,1093260.273,1059948.251,877832.8655,891048.9149,1367714.244,1282511.65,1483871.169,1534121.307,Pos
26,M203T5,2.212844407,-1.145902014,-10.59972921,2.15E-11,1.69E-09,DOWN,203.0523179,203.0510948,203.0532256,4.7674,4.73485,5.266516667,65,23,24,96774.891,800866.0225,185718.6926,361917.0059,71878.52671,799309.5084,694036.2889,899880.5619,873966.8649,981480.1917,950219.7253,615626.9624,607923.5655,674560.9963,705504.3199,569871.8152,606644.1955,790427.1737,834229.0581,667988.3584,657430.4981,425037.2002,446717.5309,407198.6677,460459.1951,388856.4356,375785.1571,386070.0166,401197.9425,355518.2753,348050.1079,255618.0953,265940.079,318848.0498,317125.2376,242502.7064,303053.3439,Pos
27,M140T5,2.924323235,-1.548102786,-9.697833549,2.31E-11,1.75E-09,DOWN,140.0678087,140.0675793,140.0680673,5.119441667,5.0683,5.3643,46,23,22,13519.279,147527.2823,42273.16177,50448.3501,23243.60002,146545.188,189263.2154,117679.9136,147722.7875,205714.1807,194422.6212,166747.9349,171412.5413,149631.2879,146247.1892,75263.50972,111875.3868,158731.5355,110012.7169,117417.5805,158684.5235,92894.89325,99729.17561,54571.05052,82393.13531,36931.79236,55962.00143,82533.90106,34622.65069,62714.72313,38244.72196,40102.93566,35811.86063,29860.55943,40039.29212,58377.87521,28435.44892,Pos
28,M168T4,1.441538997,0.527609866,8.769106636,2.71E-11,1.98E-09,UP,168.0653312,168.0648989,168.0656988,3.786,3.7211,4.41375,29,3,18,2226.514,15329.19018,2653.678697,22097.62544,2636.261445,19451.41484,18201.53715,15533.6367,16012.84995,13209.69329,8802.923259,15414.48187,12345.49648,16709.14926,18373.43046,18263.34667,17667.81819,16526.81907,16766.20549,14717.04686,16381.94485,23985.29321,20342.13059,21445.41242,20533.71452,22035.62996,21343.05341,17992.83599,18614.6166,25068.68401,23867.34359,20479.48081,25350.85255,24932.10946,25740.35108,24126.47486,26184.71858,Pos
29,M138T4,1.43340569,0.519446987,8.945624521,3.07E-11,2.16E-09,UP,138.0548811,138.054726,138.055097,3.778591667,3.7211,4.353816667,42,16,23,3406.923,24761.44171,3428.094337,35493.19145,4719.947889,26548.54347,24027.61236,21648.63607,28922.23603,19249.35547,22663.38453,31354.36299,29108.9588,21034.52365,27917.89312,24941.15654,25132.07757,23318.5388,25329.32036,26678.10994,23506.59245,29888.68769,34499.19674,33645.63189,38195.56212,31130.97274,33530.68183,32446.47378,34270.14309,37417.26229,36962.96184,35548.68133,41337.25831,47640.21286,42360.72003,38129.12032,40273.10483,Pos
30,M148T5_2,1.179599656,0.238297307,8.854594212,3.39E-11,2.31E-09,UP,148.0035773,148.0034085,148.0038088,4.914266667,4.853016667,5.955283333,50,23,24,82139.094,1252384.61,96037.71372,1477312.456,76566.9617,1289414.754,1294965.425,1076523.854,1125565.5,1226647.692,1223391.267,1254981.591,1273390.9,1262618.075,1275168.756,1236376.614,1294844.239,1226324.959,1268627.41,1422896.035,1469807.899,1438712.726,1508926.168,1408505.002,1408642.841,1422444.362,1446795.525,1441173.613,1521478.252,1489059.123,1477656.13,1373215.242,1471789.011,1578928.123,1539482.356,1612456.972,1633897.993,Pos
31,M126T5_6,1.323879796,0.404772136,8.641326157,4.10E-11,2.70E-09,UP,126.0219521,126.0218293,126.0221436,4.905166667,4.872516667,4.94415,47,23,24,2247318.75,25243098.08,3186713.103,33418827.53,3299508.184,27710875.11,29054807.56,21333164.35,21274649.31,20997368.13,20884537.56,25838212.08,26238181.91,27866161.8,27530284.85,27590936.51,27318566.68,23386241.35,23303035.71,28772255.94,29571366.83,32269372.66,31762253.03,31038920.5,30961944.85,30016043.92,32789603.6,32985410.86,33225673.03,33697068.56,33649228.56,31452383.12,32986310.53,37675485.06,37395105.43,40657286.17,39786966.32,Pos
32,M128T5_2,1.343471238,0.425965436,8.595934542,4.76E-11,3.04E-09,UP,128.0177228,128.0175755,128.0180296,4.904958333,4.853016667,5.277683333,48,23,24,94742.711,971851.2986,132100.6766,1305654.268,134097.3308,1074906.261,1109872.291,793572.7627,824490.8672,809675.8351,792080.7095,996435.4791,1024922.901,1070984.089,1049021.313,1058747.846,1024518.397,911821.6303,892781.7791,1160495.198,1173567.165,1242241.369,1254759.94,1191426.306,1217169.812,1207366.297,1168391.449,1324219.174,1318108.939,1319542.143,1342983.079,1207537.288,1245757.552,1478363.237,1484631.897,1538223.745,1572827.796,Pos
33,M310T4_1,2.738718602,1.45350104,8.989877756,5.17E-11,3.20E-09,UP,310.0863223,310.0846742,310.0938673,4.09175,3.990033333,4.31895,63,23,24,136480.75,460207.88,231932.0596,1260379.882,366070.1453,257923.6295,353513.1747,254116.7406,222346.7406,451981.7216,514523.4803,602149.4195,636327.4455,494901.6042,471403.572,785084.982,896292.2547,23338.88887,695977.7308,646477.4873,366060.7967,1170673.196,1256890.137,1127350.429,973059.7531,1171956.7,1172771.74,1133657.561,1291542.603,1162287.948,1324197.531,1588947.367,1869755.112,1473200.888,1382408.13,102421.0298,1960641.415,Pos
