log2FoldChange,Cell.type,pval_sig,col.sign
-1.463170481,Fibroblast,0.014319243,3
-1.470046591,Fibroblast,0.014319243,3
-1.470046591,Fibroblast,0.014319243,3
-1.475663221,Fibroblast,0.027007684,3
-1.475663221,Fibroblast,0.027007684,3
-1.479675669,Fibroblast,0.021205597,3
-1.479675669,Fibroblast,0.021205597,3
-1.483912331,Fibroblast,0.045188981,3
-1.483912331,Fibroblast,0.045188981,3
-1.48472637,Fibroblast,0.027007684,3
-1.48472637,Fibroblast,0.027007684,3
-1.496917088,Fibroblast,0.027007684,3
-1.496917088,Fibroblast,0.027007684,3
-1.522553966,Fibroblast,0.045188981,3
-1.522553966,Fibroblast,0.045188981,3
-1.54429957,Fibroblast,0.03576738,3
-1.54429957,Fibroblast,0.03576738,3
-1.552391486,Fibroblast,0.010365422,3
-1.552391486,Fibroblast,0.010365422,3
-1.640561615,Fibroblast,0.014319243,3
-1.640561615,Fibroblast,0.014319243,3
-1.660913845,Fibroblast,0.03576738,3
-1.660913845,Fibroblast,0.03576738,3
-1.68274705,Fibroblast,0.014319243,3
-1.68274705,Fibroblast,0.014319243,3
-1.686377813,Fibroblast,0.045188981,3
-1.686377813,Fibroblast,0.045188981,3
-1.69006254,Fibroblast,0.014319243,3
-1.69006254,Fibroblast,0.014319243,3
-1.753931139,Fibroblast,0.03576738,3
-1.753931139,Fibroblast,0.03576738,3
-1.758066788,Fibroblast,0.045188981,3
-1.758066788,Fibroblast,0.045188981,3
-1.76201579,Fibroblast,0.045188981,3
-1.76201579,Fibroblast,0.045188981,3
-1.801052392,Fibroblast,0.045188981,3
-1.801052392,Fibroblast,0.045188981,3
-1.814594383,Fibroblast,0.010365422,3
-1.814594383,Fibroblast,0.010365422,3
-1.839101734,Fibroblast,0.03576738,3
-1.839101734,Fibroblast,0.03576738,3
-1.843676969,Fibroblast,0.045188981,3
-1.843676969,Fibroblast,0.045188981,3
-1.870251022,Fibroblast,0.027007684,3
-1.870251022,Fibroblast,0.027007684,3
-1.957959978,Fibroblast,0.021205597,3
-1.957959978,Fibroblast,0.021205597,3
-2.017508099,Fibroblast,0.021205597,3
-2.017508099,Fibroblast,0.021205597,3
-2.100491685,Fibroblast,0.014319243,3
-2.100491685,Fibroblast,0.014319243,3
-2.130862738,Fibroblast,0.014319243,3
-2.130862738,Fibroblast,0.014319243,3
-4.034204515,Fibroblast,0.010365422,3
-4.034204515,Fibroblast,0.010365422,3
-4.413759358,Fibroblast,0.03606186,3
-4.413759358,Fibroblast,0.03606186,3
-4.867048048,Fibroblast,0.027007684,3
-4.867048048,Fibroblast,0.027007684,3
-5.302938078,Fibroblast,0.010365422,3
-5.302938078,Fibroblast,0.010365422,3
0.578289085,Fibroblast,0.045188981,2
0.578289085,Fibroblast,0.045188981,2
0.577828318,Fibroblast,0.045188981,2
0.577828318,Fibroblast,0.045188981,2
0.577808514,Fibroblast,0.014319243,2
0.577808514,Fibroblast,0.014319243,2
0.574908534,Fibroblast,0.027007684,2
0.574908534,Fibroblast,0.027007684,2
0.574118529,Fibroblast,0.03576738,2
0.574118529,Fibroblast,0.03576738,2
0.570124519,Fibroblast,0.027007684,2
0.570124519,Fibroblast,0.027007684,2
0.56710705,Fibroblast,0.03576738,2
0.56710705,Fibroblast,0.03576738,2
0.564360808,Fibroblast,0.03576738,2
0.564360808,Fibroblast,0.03576738,2
0.561513424,Fibroblast,0.014319243,2
0.561513424,Fibroblast,0.014319243,2
0.560411144,Fibroblast,0.014319243,2
0.560411144,Fibroblast,0.014319243,2
0.554954823,Fibroblast,0.014319243,2
0.554954823,Fibroblast,0.014319243,2
0.547363861,Fibroblast,0.03576738,2
0.547363861,Fibroblast,0.03576738,2
0.545557268,Fibroblast,0.021205597,2
0.545557268,Fibroblast,0.021205597,2
0.540750589,Fibroblast,0.010365422,2
0.540750589,Fibroblast,0.010365422,2
0.537436848,Fibroblast,0.027007684,2
0.537436848,Fibroblast,0.027007684,2
0.530637389,Fibroblast,0.045188981,2
0.530637389,Fibroblast,0.045188981,2
0.525381594,Fibroblast,0.027007684,2
0.525381594,Fibroblast,0.027007684,2
0.516583677,Fibroblast,0.03576738,2
0.516583677,Fibroblast,0.03576738,2
0.510752923,Fibroblast,0.010365422,2
0.510752923,Fibroblast,0.010365422,2
0.510637449,Fibroblast,0.027007684,2
0.510637449,Fibroblast,0.027007684,2
0.504213335,Fibroblast,0.027007684,2
0.504213335,Fibroblast,0.027007684,2
0.503000436,Fibroblast,0.014319243,2
0.503000436,Fibroblast,0.014319243,2
0.501494671,Fibroblast,0.045188981,2
0.501494671,Fibroblast,0.045188981,2
0.49316016,Fibroblast,0.045188981,2
0.49316016,Fibroblast,0.045188981,2
0.491275367,Fibroblast,0.027007684,2
0.491275367,Fibroblast,0.027007684,2
0.488868817,Fibroblast,0.045188981,2
0.488868817,Fibroblast,0.045188981,2
0.482367185,Fibroblast,0.03576738,2
0.482367185,Fibroblast,0.03576738,2
0.481811052,Fibroblast,0.010365422,2
0.481811052,Fibroblast,0.010365422,2
0.481104771,Fibroblast,0.021205597,2
0.481104771,Fibroblast,0.021205597,2
0.470845427,Fibroblast,0.014319243,2
0.470845427,Fibroblast,0.014319243,2
0.466877454,Fibroblast,0.045188981,2
0.466877454,Fibroblast,0.045188981,2
0.460250829,Fibroblast,0.021205597,2
0.460250829,Fibroblast,0.021205597,2
0.459037428,Fibroblast,0.027007684,2
0.459037428,Fibroblast,0.027007684,2
0.456828503,Fibroblast,0.045188981,2
0.456828503,Fibroblast,0.045188981,2
0.45622001,Fibroblast,0.027007684,2
0.45622001,Fibroblast,0.027007684,2
0.443637736,Fibroblast,0.03576738,2
0.443637736,Fibroblast,0.03576738,2
0.443566746,Fibroblast,0.045188981,2
0.443566746,Fibroblast,0.045188981,2
0.441453461,Fibroblast,0.014319243,2
0.441453461,Fibroblast,0.014319243,2
0.438706782,Fibroblast,0.027007684,2
0.438706782,Fibroblast,0.027007684,2
0.427998455,Fibroblast,0.021205597,2
0.427998455,Fibroblast,0.021205597,2
0.426160456,Fibroblast,0.027007684,2
0.426160456,Fibroblast,0.027007684,2
0.422421808,Fibroblast,0.010365422,2
0.422421808,Fibroblast,0.010365422,2
0.419696594,Fibroblast,0.03576738,2
0.419696594,Fibroblast,0.03576738,2
0.418192422,Fibroblast,0.014319243,2
0.418192422,Fibroblast,0.014319243,2
0.418143947,Fibroblast,0.010365422,2
0.418143947,Fibroblast,0.010365422,2
0.414522625,Fibroblast,0.021205597,2
0.414522625,Fibroblast,0.021205597,2
0.413817131,Fibroblast,0.021205597,2
0.413817131,Fibroblast,0.021205597,2
0.411186642,Fibroblast,0.021205597,2
0.411186642,Fibroblast,0.021205597,2
0.405236691,Fibroblast,0.021205597,2
0.405236691,Fibroblast,0.021205597,2
0.403002723,Fibroblast,0.010365422,2
0.403002723,Fibroblast,0.010365422,2
0.40109481,Fibroblast,0.045188981,2
0.40109481,Fibroblast,0.045188981,2
0.399729502,Fibroblast,0.010365422,2
0.399729502,Fibroblast,0.010365422,2
0.398293571,Fibroblast,0.010365422,2
0.398293571,Fibroblast,0.010365422,2
0.394530274,Fibroblast,0.010365422,2
0.394530274,Fibroblast,0.010365422,2
0.387060079,Fibroblast,0.021205597,2
0.387060079,Fibroblast,0.021205597,2
0.385682073,Fibroblast,0.021205597,2
0.385682073,Fibroblast,0.021205597,2
0.373437944,Fibroblast,0.045188981,2
0.373437944,Fibroblast,0.045188981,2
0.370982887,Fibroblast,0.045188981,2
0.370982887,Fibroblast,0.045188981,2
0.346556014,Fibroblast,0.03576738,2
0.346556014,Fibroblast,0.03576738,2
0.33375034,Fibroblast,0.045188981,2
0.33375034,Fibroblast,0.045188981,2
0.321185558,Fibroblast,0.014319243,2
0.321185558,Fibroblast,0.014319243,2
0.306764984,Fibroblast,0.03576738,2
0.306764984,Fibroblast,0.03576738,2
0.28210645,Fibroblast,0.03576738,2
0.28210645,Fibroblast,0.03576738,2
0.264316264,Fibroblast,0.027007684,2
0.264316264,Fibroblast,0.027007684,2
0.258699741,Fibroblast,0.03576738,2
0.258699741,Fibroblast,0.03576738,2
0.256927891,Fibroblast,0.045188981,2
0.256927891,Fibroblast,0.045188981,2
0.241140203,Fibroblast,0.021205597,2
0.241140203,Fibroblast,0.021205597,2
0.214129087,Fibroblast,0.021205597,2
0.214129087,Fibroblast,0.021205597,2
-0.138098462,Fibroblast,0.045188981,2
-0.138098462,Fibroblast,0.045188981,2
-0.156249168,Fibroblast,0.03576738,2
-0.156249168,Fibroblast,0.03576738,2
-0.157271544,Fibroblast,0.021205597,2
-0.157271544,Fibroblast,0.021205597,2
-0.177530376,Fibroblast,0.045188981,2
-0.177530376,Fibroblast,0.045188981,2
-0.17942204,Fibroblast,0.045188981,2
-0.17942204,Fibroblast,0.045188981,2
-0.23641033,Fibroblast,0.027007684,2
-0.23641033,Fibroblast,0.027007684,2
-0.319017138,Fibroblast,0.045188981,2
-0.319017138,Fibroblast,0.045188981,2
-0.340273349,Fibroblast,0.045188981,2
-0.340273349,Fibroblast,0.045188981,2
-0.368340653,Fibroblast,0.045188981,2
-0.368340653,Fibroblast,0.045188981,2
-0.386436904,Fibroblast,0.03576738,2
-0.386436904,Fibroblast,0.03576738,2
-0.411457493,Fibroblast,0.045188981,2
-0.411457493,Fibroblast,0.045188981,2
-0.494921861,Fibroblast,0.027007684,2
-0.494921861,Fibroblast,0.027007684,2
-0.545420549,Fibroblast,0.03576738,2
-0.545420549,Fibroblast,0.03576738,2
-1.432451453,Fibroblast,0.052879439,2
-1.969438418,Fibroblast,0.052879439,2
0.510339495,Fibroblast,0.052879439,2
-0.933557179,Fibroblast,0.052879439,2
-1.006072888,Fibroblast,0.052879439,2
-0.95281867,Fibroblast,0.052879439,2
-0.937645268,Fibroblast,0.052879439,2
-0.926433376,Fibroblast,0.052879439,2
-1.073696749,Fibroblast,0.052879439,2
1.043766285,Fibroblast,0.052879439,2
-1.016245498,Fibroblast,0.052879439,2
-1.103138876,Fibroblast,0.052879439,2
1.077959512,Fibroblast,0.052879439,2
-1.152285109,Fibroblast,0.052879439,2
1.551622871,Fibroblast,0.052879439,2
0.317090597,Fibroblast,0.052879439,2
-0.857426418,Fibroblast,0.052879439,2
0.75447891,Fibroblast,0.052879439,2
-1.073819657,Fibroblast,0.052879439,2
0.311844108,Fibroblast,0.052879439,2
-0.834441199,Fibroblast,0.052879439,2
-0.483329231,Fibroblast,0.052879439,2
0.503818113,Fibroblast,0.052879439,2
-1.576282334,Fibroblast,0.052879439,2
0.587615489,Fibroblast,0.052879439,2
-0.926412869,Fibroblast,0.052879439,2
0.592144835,Fibroblast,0.052879439,2
0.295256847,Fibroblast,0.052879439,2
-1.278470614,Fibroblast,0.052879439,2
0.731823158,Fibroblast,0.052879439,2
-0.347058555,Fibroblast,0.052879439,2
-0.596548413,Fibroblast,0.052879439,2
0.232064071,Fibroblast,0.052879439,2
0.45585179,Fibroblast,0.052879439,2
-0.406282851,Fibroblast,0.052879439,2
1.055662545,Fibroblast,0.052879439,2
0.48592674,Fibroblast,0.052879439,2
-1.388505717,Fibroblast,0.052879439,2
0.538802548,Fibroblast,0.052879439,2
-0.753926518,Fibroblast,0.052879439,2
0.473285659,Fibroblast,0.052879439,2
-1.185492508,Fibroblast,0.052879439,2
0.540051764,Fibroblast,0.052879439,2
-1.67149358,Fibroblast,0.052879439,2
-0.244310581,Fibroblast,0.052879439,2
0.577141741,Fibroblast,0.052879439,2
0.617976877,Fibroblast,0.052879439,2
0.412023455,Fibroblast,0.052879439,2
0.504639126,Fibroblast,0.052879439,2
-0.502957481,Fibroblast,0.052879439,2
0.726040116,Fibroblast,0.052879439,2
0.667735071,Fibroblast,0.052879439,2
0.450399779,Fibroblast,0.052879439,2
-0.601570545,Fibroblast,0.052879439,2
0.768925038,Fibroblast,0.052879439,2
0.810408808,Fibroblast,0.052879439,2
-0.828477313,Fibroblast,0.052879439,2
0.797098501,Fibroblast,0.052879439,2
0.672113012,Fibroblast,0.052879439,2
0.873737022,Fibroblast,0.052879439,2
0.781584765,Fibroblast,0.052879439,2
0.8609857,Fibroblast,0.052879439,2
0.839579265,Fibroblast,0.052879439,2
-1.191893156,Fibroblast,0.052879439,2
0.792192143,Fibroblast,0.052879439,2
0.83376364,Fibroblast,0.052879439,2
0.899737413,Fibroblast,0.052879439,2
