-log10pvalue	-log10qvalue	rank	basepairs
899.39	892.55	378	1
887.82	880.98	379	1
848.61	841.77	380	1
843.10	836.26	381	1
817.29	810.46	382	1
814.56	807.73	383	1
813.47	806.64	384	1
813.34	806.51	385	1
812.82	805.99	386	1
811.29	804.46	387	1
808.57	801.74	388	1
805.57	798.74	389	1
801.77	794.94	390	1
798.52	791.70	391	1
786.11	779.29	392	1
781.27	774.45	393	1
761.52	754.70	394	1
760.01	753.19	395	1
758.36	751.54	396	1
746.98	740.16	397	1
738.91	732.09	398	1
730.99	724.17	399	1
722.25	715.44	400	1
719.60	712.79	401	1
716.69	709.88	402	1
707.23	700.42	403	1
704.09	697.28	404	1
702.25	695.44	405	1
690.62	683.81	406	1
688.95	682.14	407	1
670.21	663.40	408	1
659.30	652.49	409	1
653.77	646.97	410	1
653.37	646.57	411	1
652.67	645.87	412	1
634.12	627.32	413	1
629.74	622.94	414	1
614.37	607.57	415	1
612.90	606.10	416	1
608.90	602.10	417	1
607.54	600.74	418	1
597.63	590.84	419	1
591.66	584.87	420	1
590.01	583.22	421	1
582.50	575.71	422	1
579.49	572.70	423	1
572.91	566.12	424	1
571.34	564.55	425	1
567.98	561.19	426	1
557.80	551.01	427	1
556.54	549.75	428	1
552.09	545.31	429	1
547.01	540.23	430	1
541.45	534.67	431	1
540.65	533.87	432	1
530.05	523.27	433	1
530.01	523.23	434	1
524.62	517.84	435	1
522.96	516.18	436	3
521.30	514.53	439	2
518.29	511.52	441	1
516.40	509.63	442	1
516.36	509.59	443	1
515.36	508.59	444	1
513.60	506.83	445	1
513.07	506.30	446	2
512.84	506.07	448	2
512.09	505.33	450	4
511.81	505.05	454	1
511.22	504.46	455	3
510.59	503.83	458	3
510.29	503.54	461	8
509.86	503.11	469	3
509.78	503.04	472	3
509.60	502.86	475	1
509.46	502.72	476	1
509.09	502.35	477	2
508.90	502.16	479	1
508.77	502.03	480	3
508.76	502.03	483	4
508.34	501.61	487	4
508.14	501.41	491	1
508.07	501.35	492	1
508.06	501.34	493	2
507.98	501.26	495	2
507.95	501.23	497	1
507.59	500.87	498	4
507.26	500.54	502	3
507.23	500.52	505	1
506.83	500.12	506	4
506.45	499.74	510	4
506.42	499.71	514	2
506.36	499.66	516	1
506.09	499.39	517	4
505.77	499.07	521	1
505.74	499.04	522	2
505.01	498.31	524	1
504.94	498.24	525	7
504.86	498.17	532	1
504.77	498.08	533	5
504.75	498.06	538	1
504.59	497.90	539	4
504.28	497.60	543	1
503.90	497.22	544	2
503.82	497.14	546	1
503.44	496.76	547	3
503.38	496.70	550	3
503.12	496.45	553	2
503.09	496.42	555	4
502.78	496.11	559	1
502.72	496.05	560	1
502.47	495.80	561	2
502.31	495.64	563	2
502.24	495.58	565	1
501.94	495.28	566	4
501.74	495.08	570	1
501.60	494.94	571	1
501.58	494.92	572	1
501.52	494.86	573	1
501.48	494.82	574	1
500.80	494.14	575	1
500.78	494.12	576	1
500.49	493.83	577	1
500.44	493.79	578	4
500.25	493.60	582	3
500.11	493.46	585	2
500.10	493.45	587	8
499.94	493.30	595	2
499.84	493.20	597	1
499.80	493.16	598	1
499.69	493.05	599	1
499.30	492.66	600	2
499.09	492.45	602	2
498.94	492.30	604	4
498.91	492.28	608	2
498.61	491.98	610	4
498.57	491.94	614	8
498.31	491.69	622	1
497.79	491.17	623	1
497.44	490.82	624	1
497.25	490.63	625	2
497.12	490.50	627	3
496.88	490.26	630	8
496.67	490.06	638	6
